列標籤,2025/12/1,2025/12/2,2025/12/3,2025/12/4,2025/12/5,2025/12/6,2025/12/7,2025/12/8,2025/12/9,2025/12/10,2025/12/11,2025/12/12,2025/12/13,2025/12/14,2025/12/15,2025/12/16,2025/12/17,2025/12/18,2025/12/19,2025/12/20,2025/12/21,2025/12/22,2025/12/23,2025/12/24,2025/12/25,2025/12/26,2025/12/27,2025/12/28,2025/12/29,2025/12/30,2025/12/31,2026/1/1,2026/1/2,2026/1/3,2026/1/4,2026/1/5,(空白),總計,用量占比(100%)
0051BD03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.57188E-05
0051BD06,3,7,3,7,7,3,9,0,10,5,2,8,0,1,0,3,7,2,3,2,0,9,14,4,2,0,3,4,3,5,0,4,9,4,0,1,0,144,0.01234351
005ABI06,0,0,0,7,29,0,0,0,0,0,0,36,0,0,0,1,1,25,7,4,0,10,2,3,0,35,2,1,3,3,5,0,3,5,0,3,0,185,0.015857981
005ABI07,3,6,0,10,37,0,0,3,4,4,17,16,4,0,2,2,2,14,2,4,0,4,2,4,0,16,4,0,2,2,14,0,7,4,0,2,0,191,0.016372294
005ABI09,2,8,0,44,36,0,0,9,7,9,9,66,17,0,18,14,11,29,47,46,0,30,14,38,1,113,25,0,15,17,33,7,17,23,1,17,0,723,0.061974704
005ACA01,3,6,0,3,9,0,0,3,5,5,5,3,6,0,3,3,3,3,3,6,0,3,3,6,0,18,0,0,0,0,0,0,0,0,0,0,0,99,0.008486163
005ACA03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,0.002400127
005ACE05,8,16,9,16,24,0,0,10,4,4,4,7,12,0,24,2,2,2,2,8,0,6,8,68,10,4,13,0,6,6,24,2,8,4,0,2,0,315,0.027001427
005ACE06,0,0,0,2,3,3,0,1,1,0,2,1,2,0,5,4,3,0,0,0,0,4,6,6,0,4,8,0,3,1,5,0,0,4,2,3,0,73,0.006257474
005ACE08,0,9,37,22,83,20,0,9,8,31,36,73,20,0,14,6,44,32,79,62,0,5,11,46,12,26,25,0,1,7,35,5,7,23,9,0,0,797,0.068317897
005ACL02,1,2,3,2,3,2,1,3,1,3,2,2,1,0,3,2,2,0,1,0,1,0,2,6,1,5,1,1,2,1,1,0,2,1,0,1,0,59,0.00505741
005ACT12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8.57188E-05
005ACT13,964,1262,426,925,1912,503,243,787,866,1020,1073,1035,1506,316,781,1175,830,836,839,1137,243,755,864,1472,480,915,1333,146,926,778,1388,419,874,1160,278,683,0,31150,2.670141136
005ACU02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,2,2,0,2,0,0,0,0,0,1,0,0,0,0,13,0.001114345
005ACY02,6,7,0,14,36,28,38,37,49,59,23,35,33,0,9,17,5,13,15,4,0,1,21,26,0,14,30,0,11,7,30,4,1,2,0,1,0,576,0.049374038
005ACZ01,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,1,0,14,0.001200063
005ADD01,4,14,4,2,20,0,0,7,2,5,5,8,10,1,2,4,6,5,5,10,0,4,7,10,0,9,12,0,3,5,9,0,9,8,1,2,0,193,0.016543732
005ADE08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005ADI07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000171438
005AGR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005AJO01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.000257156
005AKU01,9,6,0,5,24,0,0,35,2,45,6,3,6,0,3,3,3,3,3,6,0,3,3,6,0,3,6,0,3,3,18,0,7,8,6,7,0,235,0.020143922
005AKY01,11,11,13,6,13,6,0,18,9,10,14,9,6,0,14,11,14,7,18,6,4,11,12,12,0,23,3,2,18,10,15,1,19,4,0,13,0,343,0.029401554
005ALB01,115,172,37,113,248,59,14,123,86,131,123,123,176,26,150,123,113,118,150,214,29,130,116,184,66,136,221,27,104,116,195,26,123,169,20,118,0,4194,0.359504717
005ALC02,11,38,16,39,46,0,0,10,20,14,30,17,26,4,25,42,30,6,12,22,8,29,22,47,22,15,40,13,46,11,31,26,15,37,4,23,0,797,0.068317897
005ALF01,1,28,0,0,0,0,1,1,0,1,1,1,2,0,2,1,3,3,6,4,0,3,3,10,0,8,6,0,4,26,10,24,2,6,1,5,0,163,0.013972167
005ALL09,121,39,42,63,109,51,5,58,30,78,57,90,81,58,80,66,72,109,84,30,40,48,88,47,12,105,69,22,44,33,70,30,17,90,43,73,0,2154,0.184638331
005ALO02,22,9,9,13,14,8,1,11,12,8,17,13,8,1,6,6,4,8,11,11,2,8,16,14,0,18,14,7,11,4,16,0,9,6,5,6,0,328,0.028115772
005ALU05,11,16,60,6,18,0,21,14,11,29,13,50,10,0,3,4,3,21,7,30,0,6,16,14,0,1,46,0,20,2,9,0,57,14,27,13,0,552,0.047316787
005ALV03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0.000771469
005ALV04,0,2,0,1,3,0,0,1,29,1,1,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,29,0,1,10,0,1,0,88,0.007543256
005ALV05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.57188E-05
005ALY02,8,14,4,4,7,3,0,21,3,14,0,3,4,3,9,8,4,9,0,0,0,14,7,2,3,11,2,8,4,8,14,0,0,0,0,57,0,248,0.021258267
005AMA02,23,12,23,48,27,2,22,49,27,7,10,10,19,4,6,19,9,12,17,29,20,25,24,28,2,9,21,1,23,29,27,4,58,19,2,9,0,676,0.05794592
005AMA03,35,14,1,15,57,0,20,4,21,5,72,9,55,0,2,2,3,5,3,12,30,1,22,13,14,26,30,0,2,11,30,0,7,27,1,8,0,557,0.047745381
005AMB03,5,10,0,5,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,8,0,4,0,68,0.00582888
005AMB04,139,96,28,62,195,0,0,137,64,42,36,43,82,0,40,77,89,136,68,78,0,141,35,162,29,40,92,0,49,130,154,50,61,78,8,112,0,2553,0.218840139
005AMI15,0,0,0,2,6,0,0,1,2,2,2,2,5,0,3,11,3,3,4,11,0,1,1,1,0,1,1,0,1,1,3,0,3,3,0,2,0,75,0.006428911
005AMI16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005AMI23,0,0,0,0,0,0,1,2,1,3,2,2,4,0,2,2,1,1,0,2,0,1,0,2,0,2,4,0,2,1,2,0,0,1,0,0,0,38,0.003257315
005AMO06,32,83,18,86,160,63,0,45,27,11,6,67,113,61,54,54,84,41,180,22,14,74,57,47,75,90,203,42,2,55,44,72,35,118,4,16,0,2155,0.18472405
005AMT01,11,22,12,44,32,1,11,22,25,35,27,22,45,4,19,11,40,22,12,22,0,59,15,17,12,20,20,0,13,71,30,6,11,39,0,8,0,760,0.065146301
005ANA03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.004285941
005ANA04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,20,0,32,0.002743002
005AND01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,0,0,0,16,0.001371501
005ANO02,10,8,6,10,5,6,1,14,4,7,16,10,1,1,7,13,7,8,9,5,0,14,6,13,0,15,6,0,13,13,13,4,15,17,3,21,0,301,0.025801364
005ANT04,208,478,0,213,242,108,78,125,622,156,233,263,456,92,132,235,203,191,449,690,35,250,133,373,194,111,218,98,719,189,391,28,137,359,8,183,0,8600,0.737181822
005ANT14,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,11,0.000942907
005ANX04,4,6,1,3,9,0,0,3,3,5,2,3,4,0,1,0,2,2,1,2,1,2,2,4,0,2,4,0,10,1,2,0,1,2,0,1,0,83,0.007114662
005API01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.000257156
005APO02,508,1188,524,739,1414,500,313,592,1097,838,747,970,1246,395,613,674,912,798,834,1114,357,917,920,1274,692,936,1158,395,697,903,1073,649,649,1017,291,437,0,28381,2.432785733
005APR08,30,22,8,1,3,1,1,2,2,5,0,0,1,0,1,1,1,1,3,18,0,1,3,25,7,0,1,0,0,2,1,2,4,11,23,1,0,182,0.015600825
005ARA05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005ARI01,0,0,21,28,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,1,28,1,29,0,157,0.013457854
005ARI03,19,19,8,27,26,7,0,10,6,40,5,5,12,0,4,4,4,5,5,8,0,7,7,14,0,6,9,0,4,4,8,5,4,11,0,9,0,302,0.025887083
005ARI06,9,6,0,16,27,0,0,2,2,7,0,28,0,0,2,2,2,20,10,12,1,9,7,12,0,46,8,0,3,31,10,0,16,14,0,8,0,310,0.026572833
005ARI07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,1,2,0,1,2,0,2,0,2,0,1,10,0,0,0,28,0.002400127
005ARO01,0,0,0,0,0,0,7,0,0,0,0,28,0,0,0,31,1,1,1,2,0,1,7,0,0,0,0,0,0,0,7,0,0,2,0,1,0,89,0.007628975
005ART05,2,2,1,2,4,1,0,5,1,4,4,2,4,0,4,6,2,1,2,4,1,0,4,4,1,4,4,1,2,4,7,5,4,1,2,5,0,100,0.008571882
005ART07,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.000342875
005ATI01,139,62,79,102,170,46,15,56,75,65,72,204,74,19,87,76,64,118,71,98,23,55,100,53,35,117,31,6,33,52,74,4,115,64,10,78,0,2542,0.217897232
005ATO03,11,8,22,0,12,12,28,3,20,6,9,8,73,0,5,41,13,5,5,21,40,7,7,43,37,10,23,2,26,7,18,1,14,32,4,15,0,588,0.050402664
005AUG07,0,2,1,0,0,1,1,0,0,3,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0.001200063
005AVA04,1,2,1,0,0,0,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,2,1,2,1,0,0,0,23,0.001971533
005AVE01,29,5,10,38,16,13,3,17,47,6,40,28,32,10,35,32,30,30,48,22,1,26,31,43,20,12,2,0,11,14,49,1,40,47,1,13,0,802,0.068746491
005AVE02,5,13,0,3,15,0,0,4,3,1,3,5,10,0,5,5,4,2,4,8,0,3,2,5,2,5,10,3,2,4,5,2,0,6,0,7,0,146,0.012514947
005AZA05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,14,1,10,6,21,0,2,0,0,5,0,69,0.005914598
005AZE02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0.000257156
005AZO04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0.000171438
005BAC08,0,0,0,1,2,0,1,2,2,0,1,1,0,0,0,1,2,0,0,0,1,1,1,0,1,1,0,0,0,1,2,1,0,2,0,0,0,24,0.002057252
005BAC10,5,1,0,0,11,0,4,3,2,4,3,2,4,0,4,4,6,8,6,13,5,10,8,6,0,4,9,0,1,2,2,0,3,3,2,6,0,141,0.012086353
005BAK01,60,109,102,32,135,37,31,64,90,85,87,101,153,11,107,141,140,64,92,164,33,44,166,94,40,65,118,5,69,94,114,16,82,82,4,18,0,2849,0.244212908
005BAR02,24,62,39,9,99,252,67,92,111,30,94,83,52,61,97,60,96,35,40,91,21,8,110,26,72,74,111,57,72,60,72,1,60,92,22,101,0,2453,0.210268257
005BAV01,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0.001542939
005BEE02,7,24,1,27,34,12,0,21,19,25,8,10,42,2,9,8,15,10,18,21,22,21,16,16,3,68,27,0,20,16,16,0,5,10,2,11,0,566,0.04851685
005BEF01,46,52,7,39,114,4,0,48,49,83,38,41,101,0,39,42,42,42,41,81,83,181,119,66,0,58,62,25,29,116,172,89,23,34,1,21,0,1988,0.170409007
005BEN07,86,102,1,273,286,45,0,87,47,69,52,359,86,0,54,81,66,155,245,88,1,109,55,124,75,404,98,0,54,116,172,3,32,62,0,53,0,3540,0.303444611
005BEN11,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0.001114345
005BEN13,4,2,2,8,4,2,1,5,5,3,8,3,1,0,4,1,0,4,1,2,0,1,3,3,1,7,1,0,4,2,0,3,4,1,1,3,0,94,0.008057569
005BER10,5,66,1,0,0,0,0,0,0,3,2,2,6,0,2,2,2,3,3,6,0,2,2,4,0,2,4,0,2,3,21,0,2,4,0,2,0,151,0.012943541
005BET20,20,16,8,14,21,21,21,12,5,11,26,11,37,0,43,17,2,1,11,45,0,3,3,9,21,10,35,2,4,8,48,7,7,12,1,14,0,526,0.045088098
005BET23,1,28,0,1,3,0,0,1,1,1,7,0,3,0,11,1,1,1,3,4,9,2,2,6,1,4,10,1,8,9,32,1,7,14,1,20,0,194,0.01662945
005BET26,0,0,1,0,1,0,0,1,4,0,1,3,0,0,1,1,0,3,2,0,0,3,0,2,0,3,1,1,3,2,2,2,3,0,1,1,0,42,0.00360019
005BIN04,5,0,0,14,14,0,0,0,0,0,0,28,0,0,0,0,0,14,14,4,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,125,0.010714852
005BIO09,33,87,36,24,72,0,0,24,24,90,18,23,264,42,15,15,15,33,14,30,0,16,20,94,0,18,36,0,23,21,42,0,18,36,0,18,0,1201,0.102948299
005BIO10,26,22,28,12,16,31,17,23,26,30,10,22,13,14,19,24,17,25,35,18,19,11,25,37,19,21,33,30,13,31,23,22,21,20,22,17,0,792,0.067889303
005BIO11,29,162,3,37,178,66,0,37,25,38,170,166,120,88,60,48,136,117,60,117,65,40,93,59,42,25,121,0,48,46,195,0,36,191,19,84,0,2721,0.2332409
005BIO12,2,4,8,2,9,0,0,59,2,2,2,2,8,0,4,4,4,40,4,8,0,4,4,40,0,6,12,0,6,6,12,0,16,8,0,60,0,338,0.02897296
005BIP02,18,24,6,122,83,7,0,10,10,8,8,186,20,0,8,8,6,69,114,24,0,54,6,14,0,207,10,0,5,26,12,0,4,12,1,7,0,1089,0.093347791
005BIS02,287,397,80,230,539,243,31,375,404,183,176,310,308,27,213,142,173,435,188,368,64,250,300,443,114,291,327,161,131,429,525,35,197,449,39,390,0,9254,0.793241929
005BIS04,9,22,0,32,41,0,0,10,6,6,9,54,20,2,15,19,12,11,23,11,0,10,45,4,7,47,0,0,0,0,0,0,1,2,0,3,0,421,0.036087622
005BIS07,32,66,12,36,60,17,28,31,29,63,41,26,21,24,18,53,30,34,38,53,43,37,28,44,28,36,37,29,26,14,30,30,53,35,19,40,0,1241,0.106377051
005BIS08,7,22,73,8,27,2,0,6,24,35,27,42,17,0,7,26,12,9,14,20,0,54,43,121,35,14,43,6,25,42,40,7,34,36,8,50,0,936,0.080232812
005BOB01,26,56,4,32,72,0,0,0,7,19,30,35,79,6,40,31,37,42,45,81,5,54,45,54,2,82,127,7,54,46,77,0,42,60,8,35,0,1340,0.114863214
005BOC01,5,8,1,9,14,5,1,11,7,1,8,9,8,0,8,6,3,3,6,13,1,4,5,5,6,9,5,0,11,4,8,5,8,7,5,10,0,219,0.018772421
005BOK01,212,280,126,211,349,75,43,232,254,220,252,191,377,15,134,247,264,203,165,358,55,156,179,284,102,130,278,25,163,269,285,93,140,302,35,223,0,6927,0.593774242
005BOT91,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0.000342875
005BOW01,6,7,4,0,4,0,3,1,7,9,9,1,2,0,2,8,0,0,0,2,4,4,10,0,0,2,2,4,4,4,1,0,3,0,0,0,0,103,0.008829038
005BRI08,14,29,17,14,47,11,9,99,12,34,56,26,27,3,29,110,44,32,18,77,50,55,14,30,18,8,50,0,33,81,40,21,23,50,0,127,0,1308,0.112120212
005BRI14,1,0,1,0,0,2,0,1,0,1,2,1,2,1,0,1,0,0,1,1,0,0,0,2,0,1,1,0,1,1,1,0,0,0,0,1,0,23,0.001971533
005BRO02,249,678,311,375,725,291,255,304,184,503,253,387,620,265,404,524,389,309,533,609,169,499,357,547,476,264,426,126,221,313,481,235,511,562,205,240,0,13800,1.182919669
005BRO05,36,25,12,16,40,9,6,7,34,26,39,20,30,10,28,32,29,22,21,32,11,25,33,39,18,27,22,3,26,34,23,22,13,27,9,20,0,826,0.070803742
005BRO07,176,316,72,144,580,28,0,174,201,187,164,162,352,12,163,185,212,214,194,400,0,164,140,248,34,149,370,10,153,176,336,12,192,400,16,220,0,6556,0.561972561
005BUP02,17,34,1,26,114,0,0,29,18,58,46,93,40,0,33,12,39,46,22,38,4,18,11,29,0,67,18,0,9,16,18,0,8,18,1,12,0,895,0.076718341
005BUR02,64,98,0,18,112,0,18,54,46,32,18,22,50,4,28,29,18,20,20,48,16,32,20,34,0,6,16,18,47,40,90,0,52,96,4,12,0,1182,0.101319641
005BUT02,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0.000685751
005CAK01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000171438
005CAR02,2,6,0,4,11,0,2,4,4,3,4,6,10,2,8,8,11,50,1,18,0,4,3,4,0,18,4,0,25,1,1,4,0,2,0,1,0,221,0.018943858
005CAR11,69,65,22,33,38,17,3,44,29,102,107,23,47,28,24,65,30,31,42,92,5,179,60,88,82,27,136,11,38,74,31,44,57,14,3,12,0,1772,0.151893743
005CAR20,51,101,2,111,124,40,39,57,20,41,89,38,83,0,27,70,35,60,62,112,21,81,35,49,24,60,33,0,18,45,84,33,53,35,2,12,0,1747,0.149750773
005CAR21,11,15,14,8,33,12,0,9,4,12,13,14,27,0,13,59,8,23,39,12,0,5,6,11,0,6,12,0,6,7,18,90,6,18,0,3,0,514,0.044059472
005CAS03,1,2,0,1,3,0,0,1,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.002228689
005CAT02,0,2,3,0,0,0,0,0,14,0,0,0,0,0,0,1,3,15,3,6,0,3,2,4,0,3,4,0,2,2,4,0,2,4,0,1,0,78,0.006686068
005CEF20,118,164,12,66,255,29,4,97,76,88,80,86,177,12,99,94,97,62,58,124,10,47,47,182,0,82,204,31,133,132,258,8,158,286,18,133,0,3527,0.302330266
005CEF21,21,34,5,20,59,5,0,16,13,10,19,25,42,0,22,15,13,13,14,35,0,8,12,20,0,16,32,0,7,9,6,0,9,16,0,11,0,527,0.045173816
005CEF25,51,103,8,62,193,4,5,50,55,58,84,53,101,11,50,38,44,56,40,87,12,38,42,82,5,13,48,6,29,36,108,0,25,64,1,20,0,1682,0.144179049
005CEF26,271,333,388,232,279,152,74,138,272,339,327,233,256,71,151,260,245,367,299,211,57,191,152,334,115,97,164,46,237,85,286,131,205,140,66,96,0,7300,0.625747361
005CEF27,16,14,10,20,52,0,0,20,16,10,16,10,8,0,14,20,14,24,20,44,0,18,16,14,12,26,52,0,26,24,44,6,8,38,0,28,0,640,0.054860043
005CEF29,8,14,7,12,44,2,0,12,14,15,17,14,30,0,18,14,6,17,26,48,0,22,21,36,0,15,30,4,18,22,27,4,19,42,2,13,0,593,0.050831258
005CEL06,26,66,43,18,51,12,52,11,1,7,7,59,14,0,13,18,19,29,66,193,4,9,25,57,41,70,52,0,16,43,94,2,5,22,6,17,0,1168,0.100119578
005CEL08,354,690,344,439,1039,291,211,315,561,644,612,722,718,267,326,636,394,420,691,668,162,506,576,744,368,537,597,181,484,506,668,404,534,666,231,278,0,17784,1.524423434
005CEP08,173,488,216,246,379,250,202,102,314,222,318,286,364,110,142,226,138,181,392,272,222,152,296,238,189,228,280,77,178,246,294,235,360,413,145,184,0,8758,0.750725395
005CER02,5,20,1,22,32,0,0,6,5,6,6,6,72,0,7,7,29,9,23,18,0,6,10,20,0,10,30,0,12,19,14,0,7,14,0,12,0,428,0.036687653
005CER06,12,57,0,30,66,0,0,13,14,15,12,9,15,0,9,15,15,18,9,24,3,14,13,16,0,11,23,0,13,13,26,3,7,24,0,9,0,508,0.043545159
005CER08,4,13,1,11,12,0,0,16,5,5,11,11,6,0,3,11,5,13,13,8,1,6,6,19,0,12,12,0,6,17,27,5,28,14,1,12,0,314,0.026915708
005CHE01,1,2,0,2,4,0,0,2,1,3,2,0,0,1,3,1,2,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,30,0.002571564
005CHY02,0,0,0,1,3,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,2,0,2,2,3,0,5,0,0,0,0,0,3,0,0,0,0,27,0.002314408
005CIB01,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.005143129
005CIL02,62,76,46,109,172,62,47,70,71,91,160,122,179,10,62,78,104,106,150,191,7,73,122,300,13,94,186,6,81,141,286,28,93,196,33,94,0,3721,0.318959716
005CIM02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005CIN05,18,76,95,106,64,60,0,30,100,0,42,63,16,8,16,10,48,6,42,4,0,28,114,22,16,72,16,0,28,70,116,28,66,16,0,48,0,1444,0.123777971
005CIP03,12,20,10,14,42,0,0,18,22,20,26,24,48,0,18,16,12,10,10,20,0,14,10,28,4,18,40,0,16,24,36,4,18,40,6,27,0,627,0.053745698
